bigram,ratio
quantitative field,1.2756436494054033
analyze large,1.2738081909170502
sql and,1.2657099641035214
strong proficiency,1.2536181475451662
science libraries,1.2536181475451662
libraries such,1.2536181475451662
as pandas,1.2536181475451662
pandas numpy,1.2536181475451662
in production,1.2481117720801067
rigorous decision,1.2297571871965758
our teams,1.2297571871965758
a collaborative,1.2224153532431634
professional growth,1.216908977778104
the intersection,1.2003898513829263
intersection of,1.2003898513829263
national origin,1.1779348298245702
gender identity,1.1713600503853527
with product,1.1673052236621506
collaborative environment,1.1655161401042173
dashboards and,1.1636806816158642
experience deploying,1.1563388476624517
deploying models,1.1563388476624517
models into,1.1563388476624517
into environments,1.1563388476624517
environments such,1.1563388476624517
analytics company,1.1526679306857457
feature engineering,1.1526679306857457
organization is,1.1471615552206864
and presentations,1.1416551797556271
and applied,1.1306424288255084
a growing,1.1306424288255084
growing company,1.1306424288255084
pipelines and,1.121465136383743
candidates should,1.1141233024303305
role offers,1.1122878439419774
where priorities,1.1122878439419774
decision making,1.1104313715483296
teams partner,1.1086169269652713
production environments,1.103110551500212
that leverages,1.1012750930118589
leverages data,1.1012750930118589
modern software,1.1012750930118589
engineering practices,1.1012750930118589
practices to,1.1012750930118589
build trusted,1.1012750930118589
trusted products,1.1012750930118589
services used,1.1012750930118589
used by,1.1012750930118589
by millions,1.1012750930118589
of end,1.1012750930118589
end users,1.1012750930118589
that supports,1.1012750930118589
supports a,1.1012750930118589
of commercial,1.1012750930118589
commercial and,1.1012750930118589
and clients,1.1012750930118589
clients we,1.1012750930118589
we emphasize,1.1012750930118589
emphasize rigorous,1.1012750930118589
making and,1.1012750930118589
and invest,1.1012750930118589
invest heavily,1.1012750930118589
heavily in,1.1012750930118589
in scalable,1.1012750930118589
scalable analytics,1.1012750930118589
analytics platforms,1.1012750930118589
this company,1.1012750930118589
company operates,1.1012750930118589
operates at,1.1012750930118589
of advanced,1.1012750930118589
analytics cloud,1.1012750930118589
computing and,1.1012750930118589
applied research,1.1012750930118589
research our,1.1012750930118589
partner closely,1.1012750930118589
with customers,1.1012750930118589
customers to,1.1012750930118589
translate complex,1.1012750930118589
problems into,1.1012750930118589
into practical,1.1012750930118589
practical solutions,1.1012750930118589
least years,1.1012750930118589
and evaluating,1.1012750930118589
evaluating statistical,1.1012750930118589
statistical or,1.1012750930118589
or machine,1.1012750930118589
s or,1.1012750930118589
platforms experience,1.1012750930118589
with common,1.1012750930118589
common data,1.1012750930118589
numpy pytorch,1.1012750930118589
pytorch or,1.1012750930118589
or tensorflow,1.1012750930118589
statistics probability,1.1012750930118589
probability model,1.1012750930118589
evaluation techniques,1.1012750930118589
and experimental,1.1012750930118589
experimental design,1.1012750930118589
initiatives with,1.0939332590584465
sexual orientation,1.0929682495717683
offers the,1.0884268835933872
requirements into,1.084755966616681
be comfortable,1.0774141326632687
comfortable operating,1.0774141326632687
operating in,1.0774141326632687
may evolve,1.0774141326632687
evolve over,1.0774141326632687
compensation comprehensive,1.064565923244797
patterns and,1.0553886308030316
on meaningful,1.0553886308030316
design develop,1.048046796849619
and deploy,1.048046796849619
deploy machine,1.048046796849619
datasets to,1.0443758798729128
comprehensive benefits,1.0351985874311473
partner with,1.0345625727116805
for professional,1.0021603346407917
if you,0.9985867899169536
meaningful initiatives,0.9966539591757322
priorities may,0.9801348327805545
learning and,0.9789404970419526
and communicate,0.9786349287089632
with significant,0.9782993742922014
a related,0.9680511776485597
with mlops,0.9617802478970234
document methodologies,0.9507674969669049
methodologies and,0.9507674969669049
communicate results,0.9507674969669049
results through,0.9507674969669049
through written,0.9507674969669049
written reports,0.9507674969669049
reports dashboards,0.9507674969669049
significant ownership,0.9489320384785517
we are,0.9471078338412663
python and,0.9461815934100165
else our,0.9434256630134924
ownership and,0.9434256630134924
and advancement,0.9434256630134924
managers engineers,0.9434256630134924
translate requirements,0.9434256630134924
analytical deliverables,0.9434256630134924
pipelines that,0.9397547460367863
that support,0.9397547460367863
and apply,0.9327245313663884
and visibility,0.9305774535950208
complex datasets,0.9269065366183146
needed monitor,0.9250710781299615
that operate,0.9250710781299615
operate reliably,0.9250710781299615
reliably in,0.9250710781299615
building and,0.9242314103806509
stakeholders to,0.922058546725687
benefits and,0.9214358404568285
or a,0.9209598867328715
sql skills,0.9030455762697244
are a,0.8948339977762737
explore clean,0.8883619083628995
clean and,0.8883619083628995
large structured,0.8883619083628995
unstructured datasets,0.8883619083628995
identify trends,0.8883619083628995
trends patterns,0.8883619083628995
develop feature,0.8736782404560748
engineering strategies,0.8736782404560748
strategies and,0.8736782404560748
and reusable,0.8736782404560748
reusable data,0.8736782404560748
support experimentation,0.8736782404560748
model iteration,0.8736782404560748
work arrangements,0.8571591140608968
insights strong,0.8553236555725438
exposure to,0.8516527385958376
to natural,0.8516527385958376
processing time,0.8516527385958376
time series,0.8516527385958376
series forecasting,0.8516527385958376
forecasting recommender,0.8516527385958376
recommender systems,0.8516527385958376
systems or,0.8516527385958376
or computer,0.8516527385958376
and business,0.8425006804873795
sessions if,0.8296272367356005
products we,0.8259563197588942
mlops concepts,0.8259563197588942
concepts including,0.8259563197588942
including versioning,0.8259563197588942
versioning monitoring,0.8259563197588942
monitoring pipelines,0.8259563197588942
model governance,0.8259563197588942
azure experience,0.8167790273171287
know qualified,0.8057662763870101
products our,0.8020953594103039
complex problems,0.7950230008675527
else please,0.7947535254568915
machine learning,0.7931644581408424
know if,0.7910826084801853
know our,0.7910826084801853
else we,0.7782343990617137
origin qualified,0.7782343990617137
should be,0.7764893778545584
collaboration and,0.7763989405733605
origin please,0.7745634820850075
else qualified,0.7727280235966544
in python,0.7721197380172339
origin our,0.7690571066199481
millions of,0.7670517563792553
sessions please,0.7635507311548888
origin we,0.7635507311548888
an inclusive,0.7623076941672574
sessions we,0.7598798141781826
science computer,0.7586030728158558
inclusive workplace,0.7543734387131233
products qualified,0.7543734387131233
and diverse,0.7525379802247703
know we,0.7525379802247703
products if,0.7525379802247703
and services,0.750763348672931
data team,0.750702521736417
else if,0.7488670632480641
familiarity with,0.7476820384142315
know please,0.747031604759711
engineers and,0.7453002237789756
data science,0.7372285364312168
origin if,0.7360188538295924
sessions qualified,0.7360188538295924
comprehensive health,0.7250061028994739
as needed,0.7244393209426795
proficiency in,0.7243171132996447
large complex,0.7084869765042958
language processing,0.6965703818733687
wide range,0.6954113629351435
work on,0.6953117091750644
and analytics,0.6931809751750617
and models,0.6827905576673524
culture that,0.6791196406906463
know that,0.6791196406906463
with cloud,0.6772841822022931
products please,0.6772841822022931
software engineering,0.676792968833736
advanced analytics,0.6766787806960759
background in,0.6717778067372339
sessions our,0.6699423482488809
we offer,0.6694731094527532
natural language,0.6679089581762668
translate ambiguous,0.6644359727838215
compensation and,0.6644359727838215
products and,0.6573827536161574
flexible work,0.655258680342056
techniques and,0.6510399773079101
evaluate and,0.6497523048769968
experience working,0.6492956659324144
growth and,0.6487442352425022
in data,0.6483406130955315
senior leadership,0.6405750124352312
and analyze,0.6371106728912936
computer vision,0.6332256118900419
field experience,0.6313977199934658
to building,0.6295622615051126
about you,0.6222204275517003
opportunities for,0.6213486771119336
to build,0.6125544513632128
data pipelines,0.6078968318676288
structured and,0.606926076372075
and unstructured,0.6036289806883083
communication skills,0.6002534400143192
that values,0.6001949256914632
product managers,0.5927432753030939
will partner,0.5891821747613446
a wide,0.58720681458626
technology and,0.585957858246931
such as,0.5838918277865454
and audiences,0.5836757992962852
the opportunity,0.5826573807982491
build and,0.5793458210611054
working with,0.5783283930772871
for employees,0.5781694238312258
master s,0.5773617433170157
role we,0.5634857559244012
understanding of,0.5624300220262468
what you,0.5606578554757606
benefits flexible,0.5579793804593419
do build,0.5561439219709887
vp of,0.5561439219709887
our growing,0.5543084634826356
you actually,0.5524730049942826
the duties,0.5506375465059294
responsibilities stated,0.5506375465059294
stated are,0.5506375465059294
a general,0.5506375465059294
general summary,0.5506375465059294
summary and,0.5506375465059294
and not,0.5506375465059294
not all,0.5506375465059294
all inclusive,0.5506375465059294
all other,0.5506375465059294
and comprehensive,0.5506375465059294
health benefits,0.5506375465059294
arrangements and,0.5506375465059294
for learning,0.5506375465059294
development an,0.5506375465059294
inclusive culture,0.5506375465059294
values curiosity,0.5506375465059294
curiosity collaboration,0.5506375465059294
diverse perspectives,0.5506375465059294
workplace we,0.5506375465059294
welcome applicants,0.5506375465059294
applicants from,0.5506375465059294
from all,0.5506375465059294
all backgrounds,0.5506375465059294
we looking,0.5506375465059294
join the,0.5506375465059294
you report,0.5506375465059294
report to,0.5506375465059294
the vp,0.5506375465059294
of engineering,0.5506375465059294
engineering what,0.5506375465059294
actually do,0.5506375465059294
you you,0.5506375465059294
you been,0.5506375465059294
been doing,0.5506375465059294
doing this,0.5506375465059294
this for,0.5506375465059294
for years,0.5506375465059294
years you,0.5506375465059294
you know,0.5506375465059294
the enemy,0.5506375465059294
enemy of,0.5506375465059294
of you,0.5506375465059294
you comfortable,0.5506375465059294
comfortable with,0.5506375465059294
a terminal,0.5506375465059294
terminal and,0.5506375465059294
are afraid,0.5506375465059294
afraid of,0.5506375465059294
a little,0.5506375465059294
models at,0.5506375465059294
field bachelor,0.5506375465059294
tensorflow strong,0.5506375465059294
design solid,0.5506375465059294
the organization,0.5474907190787824
experience with,0.5452328666448951
looking for,0.5420537298138792
building an,0.5396247955758109
opportunity to,0.5370835098542087
qualifications years,0.5286120446456922
with python,0.5286120446456922
or r,0.5286120446456922
r and,0.5286120446456922
and strong,0.5286120446456922
strong sql,0.5286120446456922
skills solid,0.5286120446456922
statistics experimentation,0.5286120446456922
evaluation ability,0.5286120446456922
independently and,0.5286120446456922
communicate clearly,0.5286120446456922
clearly in,0.5286120446456922
finance healthcare,0.524941127668986
product engineering,0.523105669180633
ambiguous questions,0.523105669180633
questions into,0.523105669180633
analytical projects,0.523105669180633
scientist to,0.5186599733143373
explore and,0.5139283767388675
and prepare,0.5139283767388675
prepare large,0.5139283767388675
datasets from,0.5139283767388675
from various,0.5139283767388675
various internal,0.5139283767388675
external sources,0.5139283767388675
