word,ratio
aws,1.1114066129242934
familiarity,1.1043358589096774
datadriven,1.1041145182166239
visibility,1.1040509272853267
making,1.0957254755956023
comprehensive,1.0950581622033455
employment,1.0928883407963574
build,1.0664320565310441
sql,1.0638808411889666
time,1.063383518410118
scalable,1.0560158434099334
re,1.0559162083890588
company,1.052973057709066
common,1.0469463653382367
engineering,1.046450064547794
meaningful,1.0263886180656736
versioning,1.0257494430806935
cicd,1.0257494430806935
tensorflow,1.0253665981965303
environment,1.0190051553613548
significant,1.0131874938999135
ownership,1.012046683344883
applied,1.007223250070966
advancement,1.0061740720295353
large,1.003971657817884
reusable,0.9983439236090721
building,0.9947334896436058
reliably,0.9865987009783771
ll,0.9849518721247242
series,0.9802491296585588
patterns,0.9794830080905366
opportunities,0.9555145481536824
clean,0.9474479588760605
cloud,0.946759320026895
stakeholders,0.9446225521724008
azure,0.9431098106454624
end,0.9373784666397199
natural,0.9363258514807138
iteration,0.9317876620351339
actually,0.9200424394044389
arrangements,0.9141698280890914
exposure,0.908297216773744
recommender,0.908297216773744
commercial,0.9046974040972668
ambiguous,0.9024246054583965
team,0.8932226012212433
governance,0.8852611057341
priorities,0.8837514312235132
computing,0.8792708614065947
computer,0.8750386388677561
users,0.8640574436834744
master,0.8557496868817286
wide,0.8552995261946961
looking,0.8496181352056366
operating,0.8451925287246831
analyze,0.8372548642380558
insights,0.8311905688357769
needed,0.831094384625661
performance,0.8307257729682658
mathematics,0.8294704710376134
proficiency,0.8232882041182149
monitoring,0.8220590417359926
presentations,0.8146484516398835
language,0.8132183857992685
teams,0.8096140713972699
used,0.805071920958937
growth,0.8008908518989774
quantitative,0.7974795949227801
understanding,0.7923103543353158
design,0.7919160220225504
forecasting,0.7881691716975694
professional,0.7848826282853463
operate,0.7731286457091611
develop,0.771602590912335
offer,0.7697078177498716
supports,0.7576402203844126
python,0.7575713923248037
document,0.7535498571116515
trends,0.7500253141238291
dashboards,0.7451912585443236
practices,0.7433914945807903
offers,0.742669988025352
deliverables,0.7422524067574857
complex,0.7371041990377114
bachelor,0.73701147161962
field,0.7364177860081269
little,0.7360339515235511
compensation,0.7347967724302444
initiatives,0.7269649972384753
welcome,0.7242887288928561
methodologies,0.7231033726620464
apply,0.7173047055035675
experience,0.7054331733727726
ecommerce,0.7007982836314662
culture,0.6983347864471885
collaboration,0.690379991461528
nt,0.6890530610007712
least,0.6890296262331962
identify,0.6866187643215377
candidates,0.6778893159418523
structured,0.6751847048415
working,0.672723360354313
unstructured,0.6666908539043938
business,0.6662758379827666
decisions,0.6623833092188302
join,0.6529047065293131
managers,0.6515497372292632
product,0.6512671963740624
duties,0.6436582819299224
summary,0.6431700530437006
closely,0.6425479025334895
scale,0.640524144060033
communication,0.6401296547327731
findings,0.6390505760636466
advanced,0.6387405363442844
workplace,0.634313470242827
curiosity,0.6307723988807827
productionready,0.6303269478472965
techniques,0.6268130603818166
ability,0.6188661346456316
concepts,0.6129313953228069
audiences,0.6127199284329462
data,0.6114375202489071
tooling,0.6087940396910223
related,0.5992909937118879
committed,0.5976887583486808
vp,0.5931337428500957
responsibilities,0.5920949576397576
stated,0.5872611315347482
experienceskill,0.5872611315347482
ve,0.5872611315347482
35,0.5872611315347482
perfect,0.5872611315347482
enemy,0.5872611315347482
shipped,0.5872611315347482
terminal,0.5872611315347482
afraid,0.5872611315347482
ground,0.5794309831142849
highgrowth,0.5794309831142849
qualifications,0.5753856985082919
years,0.5713157085369194
problems,0.5695701225445717
vision,0.5674818660140921
processing,0.5579910332527523
welldefined,0.5578980749580108
engineers,0.5553711982813984
prepare,0.553959351442274
results,0.5520611433084877
benefits,0.5510786896679749
diverse,0.5491527429237905
questions,0.5484012276938404
iterate,0.5481103894324317
assumptions,0.5481103894324317
limitations,0.5481103894324317
statistical,0.5473566141602261
technology,0.546609707510361
nontechnical,0.5457708896397202
services,0.5435339489151451
apache,0.5246199441710417
systems,0.522961601995507
measure,0.5226624070659259
frameworks,0.5220027727077472
senior,0.5217259116033625
degree,0.5196871169674536
general,0.5176725475087772
preferred,0.5145392111778248
flexible,0.5122447996834242
clients,0.5083949145091495
scientist,0.5037221096195
inference,0.49917196180453605
—,0.49525688759430436
reports,0.4933144660281093
someone,0.48742673917384105
skills,0.4747748455914781
solutions,0.474394199760851
demonstrated,0.4690004406894016
report,0.46865926827580967
background,0.46430838011995235
support,0.46373952421630316
evaluate,0.4636423663673936
across,0.4632246558531363
written,0.4626247967949781
regular,0.4472621868686917
options,0.4450987600780822
cuttingedge,0.44436092286129286
look,0.442403385756177
establish,0.44210302892843245
work,0.439828098132903
ml,0.43958748311343737
using,0.43927500629258703
fitness,0.43848831154594536
heart,0.4287006260203662
strategic,0.42859644311035316
improve,0.42690437835687384
customers,0.4204129943865824
independently,0.41941547540315544
including,0.419168700609113
projects,0.41448062112854656
nice,0.4130403291794396
crossfunctional,0.4119611996980973
values,0.40844499070753726
employees,0.4049344317829477
software,0.40253117305935887
career,0.40161810485478244
strategy,0.39976249293197363
requirements,0.3986461970050018
experiments,0.3954224952333971
sense,0.3954224952333971
impact,0.39437159358107754
accelerate,0.3934649581282813
healthcare,0.3899686371475588
strongly,0.38563480970781805
range,0.3855968274924824
confidential,0.3836772726027022
voice,0.38171973549758637
technical,0.38047529801839014
explain,0.37976219839247055
manage,0.3790171483127065
tools,0.3779173980525724
finance,0.3778517796424824
datainformed,0.37780466128735474
research,0.37695845472692674
actionable,0.37674165631702056
productive,0.37584712418223887
presenting,0.37584712418223887
internal,0.3721952532085602
orchestration,0.36801697576177556
budget,0.36605943865665974
external,0.36527437908611393
infrastructure,0.3579780687895207
phd,0.3564403655764956
publications,0.35627175313108056
deep,0.3556609265476568
leadership,0.35480183581395036
promoting,0.35431421602596475
reimbursement,0.35383603587102275
assigned,0.3521940908843991
technologies,0.35209374379867125
looker,0.3484416047106173
ai,0.34709614208757944
redshift,0.3445265305003856
operational,0.3422862306230351
particularly,0.340611456290154
conferences,0.340611456290154
development,0.34040860540152856
maintain,0.3387359012720408
ab,0.3386539191850382
drive,0.3366616984459686
leave,0.3365285538945924
key,0.336291040199022
set,0.3360027269538101
contributions,0.33491146378942954
behavior,0.3347388449748065
experiment,0.3327813078696907
s,0.331738419656711
persuasively,0.328866233659459
surface,0.328866233659459
good,0.3271363038973178
airflow,0.32495115944922737
depending,0.32495115944922737
sources,0.32422932557141826
sagemaker,0.3229936223441115
fully,0.3214952093082528
track,0.32111749853601873
great,0.3208519863368214
program,0.3196604466145496
engineer,0.31942066918222634
deployed,0.3190785481338799
forward,0.3190785481338799
ongoing,0.31862940603138223
foster,0.31712101102876405
capabilities,0.31601755827797984
hit,0.31516347392364824
every,0.31452362570700115
bigquery,0.3132059368185324
mentor,0.31258705286289445
similar,0.31226928103644463
fast,0.31124839971341656
approach,0.31079745378531914
realtime,0.30929086260830074
dbt,0.30929086260830074
record,0.3091225368759394
acumen,0.30733332550318493
snowflake,0.30733332550318493
recommendations,0.3056140726533515
low,0.3053757883980691
various,0.3040870335789509
plan,0.3036928334466404
heavy,0.30341825129295324
overview,0.30335742979991964
’,0.30220332529183636
employee,0.2992075922138598
roadmap,0.29754563997760575
graph,0.29754563997760575
expected,0.2937686527891207
simultaneously,0.2936305657673741
consistently,0.2936305657673741
best,0.2932553173558022
reliability,0.29167302866225825
partnership,0.29167302866225825
stack,0.29167302866225825
shape,0.28971549155714243
contribute,0.28901906571777053
feel,0.2877579544520266
professionalism,0.2877579544520266
health,0.28660531675901946
table,0.28580041734691086
ready,0.283842880241795
oversee,0.283842880241795
early,0.283842880241795
continuous,0.28377129943638774
measurable,0.2818853431366792
remote,0.2815835828976313
within,0.28063981862545545
proud,0.27930805514563145
make,0.27879125808218563
required,0.2786679827130492
change,0.2779880581070649
step,0.2779702689264475
chance,0.2779702689264475
serving,0.2779702689264475
whatever,0.2779702689264475
coverage,0.2778944427389136
answer,0.2760127318213317
junior,0.2758716672068464
directly,0.2755635416430994
basis,0.27518953581863503
workflows,0.2747321924889678
longterm,0.2746805688183294
challenge,0.27405519471621587
generation,0.27340486349160253
practice,0.27318705853049097
clear,0.2719314813875786
effectiveness,0.27151541724309824
member,0.27139658092059404
days,0.27043547436231824
kind,0.2701401205059842
red,0.2701401205059842
resource,0.26885777192302035
continue,0.26818258340086837
worldclass,0.26818258340086837
hypothesisdriven,0.26818258340086837
focus,0.26679691773731773
expert,0.2667854464426708
apart,0.26622504629575255
sit,0.26622504629575255
people,0.2661532810636304
metrics,0.26486478867190244
recognized,0.2646694679113087
community,0.26435567417119504
miss,0.2642675091906367
home,0.2630826595674924
attention,0.2610698611796681
whether,0.26035243498040506
stock,0.2601523452203891
detail,0.25817479064584875
close,0.2564373607701734
realworld,0.2564373607701734
fostering,0.2564373607701734
providing,0.256102021718278
skill,0.2552365469298204
bring,0.254798226715114
annual,0.25467453579698673
stage,0.25447982366505756
big,0.2544770739326647
spend,0.25252228655994174
bonus,0.25239434429397894
soon,0.25056474945482593
audience,0.25056474945482593
quickly,0.24955195808774122
deliver,0.24627450757631345
generous,0.24622205542282322
